"Device Name","D2 - 2605749"
"Device Model","Kestrel DROP 2"
"Serial Number","2605749"
"FORMATTED DATE_TIME","Temperature","Relative Humidity","Heat Index","Dew Point","Data Type","Record name","Start time","Duration (H:M:S)","Location description","Location address","Location coordinates","Notes"
"YYYY-MM-DD HH:MM:SS","°C","%","°C","°C"
"2024-12-10 09:00:00 am","30.5","37.5","30.4","14.3","point"
"2024-12-10 10:00:00 am","32.8","32.2","32.9","14.1","point"
"2024-12-10 11:00:00 am","34.1","30.4","34.2","14.3","point"
"2024-12-10 12:00:00 pm","36.7","26.3","37.5","14.3","point"
"2024-12-10 01:00:00 pm","37.2","24.8","37.8","13.7","point"
"2024-12-10 02:00:00 pm","37.7","23.8","38.3","13.6","point"
"2024-12-10 03:00:00 pm","38.6","21.2","38.8","12.5","point"
"2024-12-10 04:00:00 pm","39.1","20.0","38.9","12.0","point"
"2024-12-10 05:00:00 pm","38.1","19.0","37.3","10.4","point"
"2024-12-10 06:00:00 pm","37.7","18.5","36.5","9.8","point"
"2024-12-10 07:00:00 pm","35.9","19.0","34.5","8.7","point"
"2024-12-10 08:00:00 pm","33.9","20.0","32.0","7.8","point"
"2024-12-10 09:00:00 pm","31.8","22.2","29.8","7.6","point"
"2024-12-10 10:00:00 pm","30.8","25.5","29.1","8.8","point"
"2024-12-10 11:00:00 pm","29.8","28.1","28.2","9.4","point"
"2024-12-11 12:00:00 am","28.4","32.1","27.0","10.2","point"
"2024-12-11 01:00:00 am","27.8","33.0","26.2","10.1","point"
"2024-12-11 02:00:00 am","27.1","34.0","25.5","9.9","point"
"2024-12-11 03:00:00 am","26.0","35.1","24.6","9.5","point"
"2024-12-11 04:00:00 am","26.1","37.0","24.7","10.3","point"
"2024-12-11 05:00:00 am","26.4","38.5","25.2","11.1","point"
"2024-12-11 06:00:00 am","25.7","39.5","24.5","10.9","point"
"2024-12-11 07:00:00 am","26.0","40.0","24.7","11.3","point"
"2024-12-11 08:00:00 am","27.6","39.6","26.7","12.6","point"
"2024-12-11 09:00:00 am","30.2","38.1","30.2","14.4","point"
"2024-12-11 10:00:00 am","33.4","34.6","34.4","15.7","point"
"2024-12-11 11:00:00 am","36.8","29.3","38.3","16.0","point"
"2024-12-11 12:00:00 pm","38.5","26.3","40.2","15.7","point"
