"Device Name","D2 - 2605739"
"Device Model","Kestrel DROP 2"
"Serial Number","2605739"
"FORMATTED DATE_TIME","Temperature","Relative Humidity","Heat Index","Dew Point","Data Type","Record name","Start time","Duration (H:M:S)","Location description","Location address","Location coordinates","Notes"
"YYYY-MM-DD HH:MM:SS","°C","%","°C","°C"
"2024-12-10 09:00:00 am","30.1","33.6","29.3","12.3","point"
"2024-12-10 10:00:00 am","32.2","34.9","32.6","14.8","point"
"2024-12-10 11:00:00 am","33.3","31.3","33.3","14.0","point"
"2024-12-10 12:00:00 pm","35.6","29.1","36.4","14.9","point"
"2024-12-10 01:00:00 pm","36.9","25.8","37.5","14.1","point"
"2024-12-10 02:00:00 pm","37.4","24.7","38.0","13.8","point"
"2024-12-10 03:00:00 pm","38.7","21.9","39.2","13.1","point"
"2024-12-10 04:00:00 pm","38.7","20.5","38.6","12.1","point"
"2024-12-10 05:00:00 pm","38.0","19.3","37.1","10.5","point"
"2024-12-10 06:00:00 pm","37.7","18.7","36.6","9.9","point"
"2024-12-10 07:00:00 pm","36.2","18.9","34.7","8.8","point"
"2024-12-10 08:00:00 pm","34.4","19.5","32.5","7.8","point"
"2024-12-10 09:00:00 pm","32.3","22.0","30.4","7.8","point"
"2024-12-10 10:00:00 pm","31.0","25.1","29.2","8.7","point"
"2024-12-10 11:00:00 pm","30.1","28.3","28.6","9.8","point"
"2024-12-11 12:00:00 am","28.6","31.3","27.1","10.0","point"
"2024-12-11 01:00:00 am","28.0","33.8","26.6","10.6","point"
"2024-12-11 02:00:00 am","27.2","34.4","25.8","10.2","point"
"2024-12-11 03:00:00 am","26.4","34.7","24.8","9.6","point"
"2024-12-11 04:00:00 am","26.2","36.2","24.7","10.0","point"
"2024-12-11 05:00:00 am","26.6","38.9","25.4","11.5","point"
"2024-12-11 06:00:00 am","26.0","39.5","24.7","11.1","point"
"2024-12-11 07:00:00 am","25.9","40.1","24.8","11.4","point"
"2024-12-11 08:00:00 am","27.0","40.6","26.1","12.5","point"
"2024-12-11 09:00:00 am","29.6","39.5","29.4","14.4","point"
"2024-12-11 10:00:00 am","32.3","36.5","33.0","15.5","point"
"2024-12-11 11:00:00 am","35.5","32.2","37.1","16.3","point"
"2024-12-11 12:00:00 pm","37.1","28.6","38.7","15.9","point"
"2024-12-11 01:00:00 pm","37.6","25.4","38.5","14.5","point"
"2024-12-11 02:00:00 pm","37.8","24.7","38.6","14.2","point"
"2024-12-11 03:00:00 pm","34.4","30.5","34.9","14.6","point"
"2024-12-11 04:00:00 pm","36.2","26.1","36.7","13.7","point"
"2024-12-11 05:00:00 pm","36.2","25.0","36.2","13.0","point"
"2024-12-11 06:00:00 pm","34.7","26.9","34.6","12.9","point"
"2024-12-11 07:00:00 pm","31.8","29.6","30.8","11.9","point"
"2024-12-11 08:00:00 pm","30.8","33.0","30.0","12.7","point"
"2024-12-11 09:00:00 pm","27.4","39.7","26.5","12.5","point"
"2024-12-11 10:00:00 pm","24.5","49.5","23.7","13.2","point"
"2024-12-11 11:00:00 pm","23.6","55.1","23.2","14.0","point"
"2024-12-12 12:00:00 am","22.6","60.5","22.6","14.6","point"
"2024-12-12 01:00:00 am","22.8","60.9","22.7","14.8","point"
"2024-12-12 02:00:00 am","21.8","63.9","21.9","14.6","point"
"2024-12-12 03:00:00 am","20.6","68.5","20.4","14.6","point"
"2024-12-12 04:00:00 am","20.7","71.0","20.8","15.3","point"
"2024-12-12 05:00:00 am","20.7","72.0","20.7","15.4","point"
"2024-12-12 06:00:00 am","20.7","74.5","20.9","16.0","point"
"2024-12-12 07:00:00 am","20.8","75.9","21.1","16.4","point"
"2024-12-12 08:00:00 am","21.3","79.5","21.8","17.6","point"
"2024-12-12 09:00:00 am","22.6","80.1","23.5","19.0","point"
"2024-12-12 10:00:00 am","24.6","73.9","25.3","19.6","point"
"2024-12-12 11:00:00 am","27.4","65.9","29.4","20.5","point"
"2024-12-12 12:00:00 pm","29.7","57.8","32.6","20.5","point"
"2024-12-12 01:00:00 pm","31.8","53.4","35.8","21.2","point"
"2024-12-12 02:00:00 pm","32.8","47.8","36.5","20.2","point"
"2024-12-12 03:00:00 pm","33.6","44.5","37.3","19.9","point"
"2024-12-12 04:00:00 pm","34.7","40.7","38.2","19.4","point"
"2024-12-12 05:00:00 pm","34.7","37.3","37.4","18.0","point"
"2024-12-12 06:00:00 pm","34.1","33.0","35.1","15.6","point"
"2024-12-12 07:00:00 pm","33.0","34.2","33.6","15.1","point"
"2024-12-12 08:00:00 pm","30.9","38.7","31.3","15.3","point"
"2024-12-12 09:00:00 pm","26.7","46.0","26.1","14.1","point"
"2024-12-12 10:00:00 pm","25.7","49.5","25.1","14.3","point"
"2024-12-12 11:00:00 pm","25.5","49.4","24.9","14.1","point"
"2024-12-13 12:00:00 am","25.6","50.2","25.1","14.5","point"
"2024-12-13 01:00:00 am","25.4","51.2","25.0","14.6","point"
"2024-12-13 02:00:00 am","25.4","50.7","24.8","14.4","point"
"2024-12-13 03:00:00 am","25.2","51.8","24.7","14.6","point"
"2024-12-13 04:00:00 am","24.6","53.4","24.1","14.5","point"
"2024-12-13 05:00:00 am","23.8","55.1","23.5","14.3","point"
"2024-12-13 06:00:00 am","23.5","57.0","23.2","14.5","point"
"2024-12-13 07:00:00 am","23.6","58.1","23.3","14.9","point"
"2024-12-13 08:00:00 am","24.4","58.3","24.2","15.7","point"
"2024-12-13 09:00:00 am","25.5","57.6","25.6","16.5","point"
"2024-12-13 10:00:00 am","27.2","54.4","27.6","17.2","point"
"2024-12-13 11:00:00 am","29.5","47.4","30.5","17.2","point"
"2024-12-13 12:00:00 pm","30.4","43.8","31.1","16.7","point"
"2024-12-13 01:00:00 pm","31.8","40.7","32.9","16.8","point"
"2024-12-13 02:00:00 pm","32.1","39.9","33.3","16.8","point"
"2024-12-13 03:00:00 pm","32.6","38.8","34.0","16.8","point"
