"Device Name","D2 - 2605740"
"Device Model","Kestrel DROP 2"
"Serial Number","2605740"
"FORMATTED DATE_TIME","Temperature","Relative Humidity","Heat Index","Dew Point","Data Type","Record name","Start time","Duration (H:M:S)","Location description","Location address","Location coordinates","Notes"
"YYYY-MM-DD HH:MM:SS","°C","%","°C","°C"
"2024-12-10 09:00:00 am","30.0","33.9","29.2","12.4","point"
"2024-12-10 10:00:00 am","32.1","35.7","32.4","15.0","point"
"2024-12-10 11:00:00 am","33.2","32.0","33.5","14.3","point"
"2024-12-10 12:00:00 pm","35.6","30.0","36.8","15.4","point"
"2024-12-10 01:00:00 pm","36.9","26.8","37.9","14.7","point"
"2024-12-10 02:00:00 pm","37.4","25.4","38.1","14.3","point"
"2024-12-10 03:00:00 pm","38.7","22.7","39.3","13.7","point"
"2024-12-10 04:00:00 pm","38.8","21.0","39.0","12.6","point"
"2024-12-10 05:00:00 pm","38.2","19.7","37.5","11.0","point"
"2024-12-10 06:00:00 pm","37.8","19.2","37.0","10.4","point"
"2024-12-10 07:00:00 pm","36.5","18.9","35.2","9.1","point"
"2024-12-10 08:00:00 pm","34.8","19.1","33.0","7.9","point"
"2024-12-10 09:00:00 pm","32.6","21.0","30.8","7.5","point"
"2024-12-10 10:00:00 pm","31.1","23.5","29.1","7.8","point"
"2024-12-10 11:00:00 pm","30.3","26.3","28.6","8.9","point"
"2024-12-11 12:00:00 am","29.0","29.1","27.4","9.2","point"
"2024-12-11 01:00:00 am","28.2","31.6","26.5","9.8","point"
"2024-12-11 02:00:00 am","27.4","32.6","25.7","9.5","point"
"2024-12-11 03:00:00 am","26.5","33.4","24.9","9.1","point"
"2024-12-11 04:00:00 am","26.1","35.1","24.7","9.5","point"
"2024-12-11 05:00:00 am","26.6","37.4","25.3","10.9","point"
"2024-12-11 06:00:00 am","26.0","38.0","24.8","10.6","point"
"2024-12-11 07:00:00 am","25.9","39.2","24.7","11.0","point"
"2024-12-11 08:00:00 am","26.8","40.3","25.9","12.2","point"
"2024-12-11 09:00:00 am","29.3","40.1","29.0","14.3","point"
